timestamp,instance,rule,seed,makespan,zone_id,zone_name,aisle_type,flow_direction,traversal_count,block_events,total_block_time,mean_block_time,block_rate
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,0,RowAisle0_Dock0,RowAisle,West,358,2262,585.78,0.26,0.8634
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,1,RowAisle0_Transit0,RowAisle,West,377,2651,682.76,0.26,0.8755
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,2,RowAisle0_Dock1,RowAisle,West,359,1547,400.14,0.26,0.8116
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,3,RowAisle0_Transit1,RowAisle,West,391,2298,590.72,0.26,0.8546
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,4,RowAisle0_Dock2,RowAisle,West,359,1001,260.26,0.26,0.7360
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,5,RowAisle0_Transit2,RowAisle,West,401,1492,382.46,0.26,0.7882
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,6,RowAisle0_Dock3,RowAisle,West,359,305,79.30,0.26,0.4593
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,7,RowAisle1_Dock0,RowAisle,East,146,0,0.00,0.00,0.0000
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,8,RowAisle1_Transit0,RowAisle,East,145,231,60.06,0.26,0.6144
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,9,RowAisle1_Dock1,RowAisle,East,145,19,4.94,0.26,0.1159
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,10,RowAisle1_Transit1,RowAisle,East,144,491,122.72,0.25,0.7732
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,11,RowAisle1_Dock2,RowAisle,East,144,39,10.14,0.26,0.2131
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,12,RowAisle1_Transit2,RowAisle,East,184,107,27.04,0.25,0.3677
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,13,RowAisle1_Dock3,RowAisle,East,144,112,29.12,0.26,0.4375
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,14,RowAisle2_Dock0,RowAisle,West,214,1146,297.96,0.26,0.8426
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,15,RowAisle2_Transit0,RowAisle,West,215,1087,282.62,0.26,0.8349
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,16,RowAisle2_Dock1,RowAisle,West,215,626,160.94,0.26,0.7444
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,17,RowAisle2_Transit1,RowAisle,West,214,560,145.60,0.26,0.7235
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,18,RowAisle2_Dock2,RowAisle,West,214,278,72.28,0.26,0.5650
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,19,RowAisle2_Transit2,RowAisle,West,214,209,54.34,0.26,0.4941
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,20,RowAisle2_Dock3,RowAisle,West,215,29,7.54,0.26,0.1189
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,21,TopSpine_CornerL,SpineAisle,East,591,2750,715.00,0.26,0.8231
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,22,TopSpine_Dock0,SpineAisle,East,592,1361,353.86,0.26,0.6969
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,23,TopSpine_Transit0,SpineAisle,East,591,5166,1343.16,0.26,0.8973
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,24,TopSpine_Dock1,SpineAisle,East,592,933,242.58,0.26,0.6118
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,25,TopSpine_Transit1,SpineAisle,East,592,6798,1764.36,0.26,0.9199
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,26,TopSpine_Dock2,SpineAisle,East,591,1216,316.16,0.26,0.6729
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,27,TopSpine_Transit2,SpineAisle,East,591,7446,1931.02,0.26,0.9265
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,28,TopSpine_Dock3,SpineAisle,East,591,1365,354.90,0.26,0.6979
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,29,TopSpine_CornerR,SpineAisle,East,592,8307,2158.78,0.26,0.9335
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,30,BotSpine_CornerL,SpineAisle,West,164,115,29.90,0.26,0.4122
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,31,BotSpine_Dock0,SpineAisle,West,162,187,45.76,0.24,0.5358
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,32,BotSpine_Transit0,SpineAisle,West,165,39,10.14,0.26,0.1912
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,33,BotSpine_Dock1,SpineAisle,West,164,56,14.56,0.26,0.2545
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,34,BotSpine_Transit1,SpineAisle,West,162,5,1.30,0.26,0.0299
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,35,BotSpine_Dock2,SpineAisle,West,162,26,6.76,0.26,0.1383
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,36,BotSpine_Transit2,SpineAisle,West,163,0,0.00,0.00,0.0000
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,37,BotSpine_Dock3,SpineAisle,West,265,0,0.00,0.00,0.0000
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,38,BotSpine_CornerR,SpineAisle,West,163,0,0.00,0.00,0.0000
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,39,LeftVert_TopConn,VerticalAisle,North,593,1763,458.12,0.26,0.7483
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,40,LeftVert_Row0,VerticalAisle,North,612,4436,1143.48,0.26,0.8788
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,41,LeftVert_Row1,VerticalAisle,North,378,640,166.40,0.26,0.6287
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,42,LeftVert_Row2,VerticalAisle,North,395,3112,803.92,0.26,0.8874
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,43,LeftVert_BotConn,VerticalAisle,North,163,1432,372.32,0.26,0.8978
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,44,RightVert_TopConn,VerticalAisle,South,591,2929,761.28,0.26,0.8321
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,45,RightVert_Row0,VerticalAisle,South,591,5609,1453.14,0.26,0.9047
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,46,RightVert_Row1,VerticalAisle,South,378,1534,398.84,0.26,0.8023
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,47,RightVert_Row2,VerticalAisle,South,377,169,43.94,0.26,0.3095
2026-09-20 12:17:31,mfsweep_shard0,LRT_MMUR,42,4905.18,48,RightVert_BotConn,VerticalAisle,South,163,4,1.04,0.26,0.0240
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,0,RowAisle0_Dock0,RowAisle,West,442,3077,795.61,0.26,0.8744
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,1,RowAisle0_Transit0,RowAisle,West,468,3209,818.21,0.25,0.8727
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,2,RowAisle0_Dock1,RowAisle,West,442,2122,548.60,0.26,0.8276
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,3,RowAisle0_Transit1,RowAisle,West,505,2506,622.44,0.25,0.8323
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,4,RowAisle0_Dock2,RowAisle,West,443,1404,364.27,0.26,0.7602
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,5,RowAisle0_Transit2,RowAisle,West,484,2164,557.18,0.26,0.8172
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,6,RowAisle0_Dock3,RowAisle,West,443,484,125.84,0.26,0.5221
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,7,RowAisle1_Dock0,RowAisle,East,147,0,0.00,0.00,0.0000
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,8,RowAisle1_Transit0,RowAisle,East,150,113,29.38,0.26,0.4297
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,9,RowAisle1_Dock1,RowAisle,East,147,43,11.18,0.26,0.2263
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,10,RowAisle1_Transit1,RowAisle,East,147,324,84.24,0.26,0.6879
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,11,RowAisle1_Dock2,RowAisle,East,147,102,26.52,0.26,0.4096
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,12,RowAisle1_Transit2,RowAisle,East,177,189,48.10,0.25,0.5164
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,13,RowAisle1_Dock3,RowAisle,East,148,312,81.12,0.26,0.6783
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,14,RowAisle2_Dock0,RowAisle,West,252,1350,351.00,0.26,0.8427
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,15,RowAisle2_Transit0,RowAisle,West,252,1598,408.20,0.26,0.8638
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,16,RowAisle2_Dock1,RowAisle,West,252,631,164.06,0.26,0.7146
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,17,RowAisle2_Transit1,RowAisle,West,252,608,158.08,0.26,0.7070
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,18,RowAisle2_Dock2,RowAisle,West,253,190,49.40,0.26,0.4289
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,19,RowAisle2_Transit2,RowAisle,West,254,238,61.88,0.26,0.4837
2026-09-20 12:22:55,mfsweep_shard0,LRT_MMUR,43,6298.46,20,RowAisle2_Dock3,RowAisle,West,252,18,4.68,0.26,0.0667
